Region,Date,Recoveries,Cases,Deaths,Retail_&_Recreation,Grocery_&_Pharmacy,Parks,Transit_stations,Workplaces,Residential,Vaccinated,Fully_Vaccinated,Revaccinated
77,3/12/2020,0,21,0,5,5,17,5,2,-1,0,0,0
77,3/13/2020,0,26,0,-1,1,-10,0,0,1,0,0,0
77,3/14/2020,0,35,0,4,7,-11,5,6,-1,0,0,0
77,3/15/2020,1,35,0,-5,5,-34,-5,1,1,0,0,0
77,3/16/2020,1,53,0,3,15,8,1,-3,1,0,0,0
77,3/17/2020,1,55,0,5,29,24,-3,-9,2,0,0,0
77,3/18/2020,1,86,0,-3,15,12,-8,-13,4,0,0,0
77,3/19/2020,1,98,0,-8,7,13,-12,-16,5,0,0,0
77,3/20/2020,5,131,0,-13,0,-10,-15,-18,6,0,0,0
77,3/21/2020,8,137,0,-20,-7,-38,-18,-7,3,0,0,0
77,3/22/2020,8,191,0,-21,-5,-28,-20,-4,2,0,0,0
77,3/23/2020,9,262,0,-17,-6,-11,-23,-25,8,0,0,0
77,3/24/2020,9,290,0,-16,-4,1,-22,-26,9,0,0,0
77,3/25/2020,14,410,2,-14,1,14,-21,-27,8,0,0,0
77,3/26/2020,15,546,2,-15,2,22,-22,-29,8,0,0,0
77,3/27/2020,18,703,3,-19,-1,7,-23,-30,8,0,0,0
77,3/28/2020,18,817,5,-50,-18,-25,-36,-27,6,0,0,0
77,3/29/2020,28,1014,6,-57,-22,-35,-44,-26,5,0,0,0
77,3/30/2020,28,1226,6,-63,-36,-63,-66,-66,25,0,0,0
77,3/31/2020,70,1613,11,-67,-41,-67,-69,-70,28,0,0,0
77,4/1/2020,115,1880,16,-67,-40,-67,-70,-71,29,0,0,0
77,4/2/2020,140,2475,19,-67,-38,-66,-71,-71,29,0,0,0
77,4/3/2020,168,2923,20,-67,-38,-66,-70,-70,30,0,0,0
77,4/4/2020,194,3357,27,-70,-43,-76,-67,-47,15,0,0,0
77,4/5/2020,198,3893,29,-70,-41,-75,-67,-41,12,0,0,0
77,4/6/2020,206,4484,29,-63,-35,-60,-66,-65,26,0,0,0
77,4/7/2020,222,5181,31,-60,-31,-53,-64,-65,25,0,0,0
77,4/8/2020,270,5841,31,-62,-35,-57,-64,-65,25,0,0,0
77,4/9/2020,313,6698,38,-60,-30,-46,-61,-64,24,0,0,0
77,4/10/2020,350,7822,50,-63,-34,-60,-63,-64,25,0,0,0
77,4/11/2020,499,8852,58,-66,-36,-76,-62,-41,13,0,0,0
77,4/12/2020,687,10158,72,-64,-30,-69,-60,-32,9,0,0,0
77,4/13/2020,837,11513,82,-64,-38,-60,-67,-66,26,0,0,0
77,4/14/2020,1016,13002,95,-64,-36,-65,-68,-66,26,0,0,0
77,4/15/2020,1205,14776,106,-69,-44,-69,-71,-69,29,0,0,0
77,4/16/2020,1394,16146,113,-69,-42,-71,-73,-69,30,0,0,0
77,4/17/2020,1517,18105,127,-67,-38,-70,-72,-68,30,0,0,0
77,4/18/2020,1679,20754,148,-70,-41,-81,-71,-48,17,0,0,0
77,4/19/2020,1763,24324,176,-75,-50,-78,-72,-45,13,0,0,0
77,4/20/2020,1838,26350,204,-66,-42,-63,-70,-67,27,0,0,0
77,4/21/2020,2057,29433,233,-64,-37,-62,-68,-66,27,0,0,0
77,4/22/2020,2267,31981,261,-66,-41,-67,-70,-67,28,0,0,0
77,4/23/2020,2448,33940,288,-64,-36,-62,-68,-66,27,0,0,0
77,4/24/2020,2735,36897,325,-66,-39,-67,-69,-66,28,0,0,0
77,4/25/2020,3047,39509,366,-69,-43,-78,-68,-45,15,0,0,0
77,4/26/2020,3175,42480,404,-67,-37,-66,-64,-36,10,0,0,0
77,4/27/2020,3524,45351,435,-63,-37,-57,-66,-65,25,0,0,0
77,4/28/2020,4130,48426,479,-61,-32,-55,-65,-64,25,0,0,0
77,4/29/2020,4610,50646,546,-61,-33,-59,-65,-64,25,0,0,0
77,4/30/2020,5135,53739,611,-57,-26,-54,-62,-63,23,0,0,0
77,5/1/2020,5766,57300,658,-66,-38,-58,-72,-78,29,0,0,0
77,5/2/2020,6374,62658,695,-70,-45,-70,-66,-40,12,0,0,0
77,5/3/2020,7029,68606,729,-68,-40,-61,-62,-24,7,0,0,0
77,5/4/2020,7573,74401,764,-66,-41,-57,-72,-77,26,0,0,0
77,5/5/2020,7870,80115,816,-65,-37,-54,-71,-76,25,0,0,0
77,5/6/2020,8458,85973,866,-63,-37,-59,-65,-65,24,0,0,0
77,5/7/2020,9227,92676,905,-61,-32,-51,-64,-64,24,0,0,0
77,5/8/2020,10259,98522,956,-63,-35,-61,-65,-64,25,0,0,0
77,5/9/2020,12779,104189,1010,-70,-44,-70,-66,-42,13,0,0,0
77,5/10/2020,13790,109740,1068,-68,-41,-68,-63,-25,8,0,0,0
77,5/11/2020,17822,115909,1124,-57,-26,-29,-65,-75,20,0,0,0
77,5/12/2020,19642,121301,1179,-59,-33,-51,-59,-58,20,0,0,0
77,5/13/2020,21506,126004,1232,-58,-31,-54,-60,-59,22,0,0,0
77,5/14/2020,23327,130716,1290,-58,-30,-50,-59,-58,22,0,0,0
77,5/15/2020,24562,135464,1358,-58,-29,-51,-57,-57,21,0,0,0
77,5/16/2020,26032,138969,1432,-63,-36,-68,-57,-30,9,0,0,0
77,5/17/2020,27490,142824,1503,-63,-34,-64,-57,-22,6,0,0,0
77,5/18/2020,28913,146062,1580,-58,-32,-54,-58,-57,20,0,0,0
77,5/19/2020,31496,149607,1651,-55,-27,-47,-56,-56,20,0,0,0
77,5/20/2020,36936,152306,1726,-56,-29,-49,-55,-56,20,0,0,0
77,5/21/2020,40682,155219,1794,-56,-28,-52,-57,-57,20,0,0,0
77,5/22/2020,43582,158207,1867,-58,-30,-56,-58,-56,21,0,0,0
77,5/23/2020,47413,161397,1934,-62,-34,-70,-56,-29,10,0,0,0
77,5/24/2020,49840,163913,1993,-61,-31,-63,-55,-23,5,0,0,0
77,5/25/2020,53586,166473,2034,-51,-23,-28,-51,-54,17,0,0,0
77,5/26/2020,61619,169303,2110,-52,-23,-31,-51,-53,17,0,0,0
77,5/27/2020,67458,171443,2183,-52,-23,-30,-50,-53,17,0,0,0
77,5/28/2020,71251,173497,2254,-49,-19,-16,-48,-52,15,0,0,0
77,5/29/2020,74725,175829,2330,-59,-34,-57,-56,-54,19,0,0,0
77,5/30/2020,78324,178196,2408,-56,-28,-48,-47,-18,4,0,0,0
77,5/31/2020,80179,180791,2477,-63,-36,-71,-56,-18,3,0,0,0
77,6/1/2020,82239,183088,2553,-44,-20,-41,-46,-49,14,0,0,0
77,6/2/2020,88269,185374,2624,-45,-22,-42,-46,-49,16,0,0,0
77,6/3/2020,91654,187216,2685,-44,-21,-39,-45,-49,16,0,0,0
77,6/4/2020,94715,189214,2749,-41,-16,-21,-42,-48,14,0,0,0
77,6/5/2020,97358,191069,2806,-45,-21,-36,-43,-48,14,0,0,0
77,6/6/2020,100431,193061,2864,-44,-20,-26,-34,-11,1,0,0,0
77,6/7/2020,102714,195017,2919,-39,-13,5,-30,0,-3,0,0,0
77,6/8/2020,104347,197018,2970,-34,-11,34,-36,-44,9,0,0,0
77,6/9/2020,109737,198590,3029,-29,-8,39,-31,-42,8,0,0,0
77,6/10/2020,113533,199785,3085,-34,-13,4,-33,-42,8,0,0,0
77,6/11/2020,115769,201221,3138,-26,-2,43,-27,-42,5,0,0,0
77,6/12/2020,118024,202935,3187,-41,-22,6,-48,-67,13,0,0,0
77,6/13/2020,119558,204428,3231,-46,-29,-40,-39,-10,0,0,0,0
77,6/14/2020,121691,205905,3281,-34,-12,12,-21,7,-8,0,0,0
77,6/15/2020,123240,207264,3334,-26,-7,32,-26,-40,5,0,0,0
77,6/16/2020,126114,208680,3386,-23,-3,55,-22,-39,5,0,0,0
77,6/17/2020,128385,209745,3434,-25,-4,56,-22,-40,5,0,0,0
77,6/18/2020,130431,210785,3483,-28,-7,43,-24,-40,5,0,0,0
77,6/19/2020,132434,211921,3531,-32,-11,24,-26,-40,6,0,0,0
77,6/20/2020,134549,212978,3565,-39,-21,-19,-25,-3,-3,0,0,0
77,6/21/2020,135556,213946,3597,-31,-11,-1,-19,5,-6,0,0,0
77,6/22/2020,136670,215014,3617,-23,-6,53,-21,-40,4,0,0,0
77,6/23/2020,139248,216095,3643,-18,-3,50,-18,-40,3,0,0,0
77,6/24/2020,141268,216906,3657,-18,-5,116,-31,-64,11,0,0,0
77,6/25/2020,142194,217791,3669,-23,-10,21,-22,-40,4,0,0,0
77,6/26/2020,144191,218604,3694,-25,-10,37,-21,-40,3,0,0,0
